text,author,is_ai
"done with respect to Jane, his unpardonable assurance in acknowledging, though he could not justify it, and the unfeeling manner which he had mentioned Mr. Wickham, his cruelty towards whom he had not attempted to deny, soon overcame the pity which the consideration of his attachment had for a moment excited. She continued in very agitating reflections till the sound of Lady Catherine’s carriage made her feel how unequal she was to encounter Charlotte’s observation, and hurried her away to her room. [Illustration: “Hearing herself called” ] CHAPTER XXXV. [Illustration] Elizabeth awoke the next morning to the same thoughts and meditations which had at length closed her eyes. She could not yet recover from the surprise of what had happened: it was impossible to think of anything else; and, totally indisposed for employment, she resolved soon after breakfast to indulge herself in air and exercise. She was proceeding directly to her favourite walk, when the recollection of Mr. Darcy’s sometimes coming there stopped her, and instead of entering the park, she turned up the lane which led her farther from the turnpike road. The park paling was still the boundary on one side, and she soon passed one of the",Jane Austen,0
"Now, this here week, it weren’t a week at all, not by a long sight. More like a sliver of time snatched by a particularly ornery current. Old Man Tiber, he was in a mood, I tell you. A right proper snit. We’d been chugging along on the *Belle of Baton Rouge*, peaceful enough, when the sky commenced to look like a bruised plum. 

My souls, how the wind did scream along! And every second or two there’d come a glare that lit up the white-caps for a half mile, showin’ you the river wasn’t water at all, but a boilin’ pot of trouble. Folks were clutchin’ their hats and prayin’ to whatever deity they favored, though I reckon even *they* were wonderin’ if it’d do any good.

Captain Peabody, bless his grizzled heart, he just stood there, lookin’ like a statue carved from worry. Said somethin’ about “respectin’ the river’s temper,” which is a fancy way of sayin’ we were all at her mercy. It passed, of course. They always do. But that little stretch? Felt like a lifetime crammed into a handful of hours. A lifetime, and not a pleasant one, neither.",Mark Twain,1
"The chipped porcelain of the recovered photographs felt disturbingly cold, even through gloved hands. They depicted a cyclopean conflict waged not amongst stars, but *within* the abyssal currents. Structures of basalt, geometrically abhorrent to Euclidean comprehension, crumbled under assaults of bioluminescent weaponry – pulsing, sickly green against the eternal black. 

But it was the *figures* that clung to the sanity. Not human, not wholly animal, but… *constructed*. Vast, ichorous beings of segmented chitin and phosphorescent membrane, locked in a silent, writhing ballet of destruction. They were the servitors, undoubtedly, of entities far older, far more terrible.

And the aftermath. Oh, the aftermath. The images, blurred by the pressure and the… *something else* clinging to the lenses, showed the results of Shoggoth intervention. Not clean severance, but a dissolution, a spreading slick of iridescent slime where form had once been. Bodies – or what remained of them – were left headless, the spinal columns extruded and coiled like obscene, glistening ropes. 

A mar, indeed. A psychic residue clung to the prints, a whispering dread that spoke of geometries best left unseen, and of a war whose victors were, and always would be, utterly alien to the fragile concerns of mankind.",H.P. Lovecraft,1
"or a raft went by so close we could hear them talking and cussing and laughing—heard them plain; but we couldn’t see no sign of them; it made you feel crawly; it was like spirits carrying on that way in the air. Jim said he believed it was spirits; but I says: “No; spirits wouldn’t say, ‘Dern the dern fog.’” Soon as it was night out we shoved; when we got her out to about the middle we let her alone, and let her float wherever the current wanted her to; then we lit the pipes, and dangled our legs in the water, and talked about all kinds of things—we was always naked, day and night, whenever the mosquitoes would let us—the new clothes Buck’s folks made for me was too good to be comfortable, and besides I didn’t go much on clothes, nohow. Sometimes we’d have that whole river all to ourselves for the longest time. Yonder was the banks and the islands, across the water; and maybe a spark—which was a candle in a cabin window; and sometimes on the water you could see a spark or two—on a raft or a scow, you know; and maybe you",Mark Twain,0
"glidingest, stealthiest man I ever see; and there warn’t no more smile to him than there is to a ham. They had borrowed a melodeum—a sick one; and when everything was ready a young woman set down and worked it, and it was pretty skreeky and colicky, and everybody joined in and sung, and Peter was the only one that had a good thing, according to my notion. Then the Reverend Hobson opened up, slow and solemn, and begun to talk; and straight off the most outrageous row busted out in the cellar a body ever heard; it was only one dog, but he made a most powerful racket, and he kept it up right along; the parson he had to stand there, over the coffin, and wait—you couldn’t hear yourself think. It was right down awkward, and nobody didn’t seem to know what to do. But pretty soon they see that long-legged undertaker make a sign to the preacher as much as to say, “Don’t you worry—just depend on me.” Then he stooped down and begun to glide along the wall, just his shoulders showing over the people’s heads. So he glided along, and the powwow and racket getting",Mark Twain,0
"Now, Mrs. Phelps, she was a woman built on good intentions and a heap of fluster. Always fussin’ over somethin’, she was, like a hen with one chick too many. She’d been hankerin’ for a bit of excitement, a real chance to *do* somethin’ beyond starchin’ collars and frettin’ over the parlor curtains. And Lord, did she get it.

It all commenced with a mistaken identity, naturally. A fella, lookin’ remarkably like a nephew she was expectin’ from the Territories, showed up. A right scamp, he was, full of tall tales and a glint in his eye that’d charm the bloom off a rose. She took to him like a duck to water, bless her heart.

Then came the moment. She stooped down quick at the foot of the bed and give me a pull, and out I come; and when he turned back from the window, expectin’ young Tom, well, he near jumped out of his skin. A sight to behold, I tell you. A proper hullabaloo. She’d finally got her chance, alright – a chance to be mistaken, a chance to be flustered, and a chance to create a story folks would be tellin’ for years to come. A right comical mess, it was.",Mark Twain,1
"The drawing-room, though comfortably furnished, possessed a distinct lack of animation until Mr. Ashworth’s arrival. He had been much less in his own apartment had they sat in one equally lively; and she gave Charlotte credit for the arrangement. It was, after all, Charlotte’s particular talent to discern the precise degree of social stimulus required for each individual, and to administer it with a delicate hand. 

Mr. Ashworth, though possessed of a fortune undeniably handsome, was prone to a melancholy which threatened to consume him entirely. Miss Eleanor, observing his hesitant entrance, felt a pang of sympathy, quickly followed by a more practical consideration. He needed distraction, and plentiful conversation.

Fortunately, Mrs. Penhaligon, ever eager to display her accomplishments, had launched into a detailed account of her recent visit to Bath. Mr. Ashworth, though initially reserved, found himself drawn into a discussion of the Pump Room, and even offered a tentative opinion on the merits of the circulating library. A small victory, perhaps, but one which Eleanor deemed entirely satisfactory. Charlotte, observing from her favoured corner, offered a subtle, approving nod.",Jane Austen,1
"people could create. That the transfer of sculptured blocks had not been more extensive, was doubtless owing to the fact that the land city was not at first wholly abandoned. By the time total abandonment did occur--and it surely must have occurred before the polar Pleistocene was far advanced--the Old Ones had perhaps become satisfied with their decadent art--or had ceased to recognize the superior merit of the older carvings. At any rate, the æon-silent ruins around us had certainly undergone no wholesale sculptural denudation, though all the best separate statues, like other movables, had been taken away. The decadent cartouches and dados telling this story were, as I have said, the latest we could find in our limited search. They left us with a picture of the Old Ones shuttling back and forth betwixt the land city in summer and the sea-cavern city in winter, and sometimes trading with the sea-bottom cities off the antarctic coast. By this time the ultimate doom of the land city must have been recognized, for the sculptures showed many signs of the cold's malign encroachments. Vegetation was declining, and the terrible snows of the winter no longer melted completely even in midsummer. The",H.P. Lovecraft,0
"least you should not _remind_ your mother of inviting him.” “As I did the other day,” said Elizabeth, with a conscious smile; “very true, it will be wise in me to refrain from _that_. But do not imagine that he is always here so often. It is on your account that he has been so frequently invited this week. You know my mother’s ideas as to the necessity of constant company for her friends. But really, and upon my honour, I will try to do what I think to be wisest; and now I hope you are satisfied.” Her aunt assured her that she was; and Elizabeth, having thanked her for the kindness of her hints, they parted,--a wonderful instance of advice being given on such a point without being resented. Mr. Collins returned into Hertfordshire soon after it had been quitted by the Gardiners and Jane; but, as he took up his abode with the Lucases, his arrival was no great inconvenience to Mrs. Bennet. His marriage was now fast approaching; and she was at length so far resigned as to think it inevitable, and even repeatedly to say, in an ill-natured tone, that she “_wished_ they might be",Jane Austen,0
"The arrangements for the morrow’s excursion to the vicarage were, it must be confessed, remarkably ill-conceived. They had just been preparing to walk, Miss Eleanor having selected her most serviceable pelisse and Miss Marianne lamenting the dust which would inevitably cling to her favourite muslin, when the letters arrived. And her uncle and aunt, leaving unexpectedly for London on pressing business concerning a distant cousin’s entail, threw the entire plan into disarray.

A sigh escaped Miss Eleanor’s lips, though she schooled her features to a composure she did not entirely feel. Marianne, however, was less restrained. “London!” she exclaimed, with a dramatic flutter of her hand. “Just as we were to enjoy the fresh air and Mr. Harris’s improved shrubbery! It is most provoking.”

Their mother, ever practical, attempted to soothe. “Provoking, perhaps, but unavoidable. We must make the best of it. A quiet evening with our books, then. Though I confess, a little society would have been a welcome diversion from the monotony.” 

The prospect, however, held little charm for Marianne, who considered books a poor substitute for animated conversation and the possibility of a certain gentleman’s company.",Jane Austen,1
"saurian live stock were nearly all dead, and the mammals were standing it none too well. To keep on with the work of the upper world it had become necessary to adapt some of the amorphous and curiously cold-resistant Shoggoths to land life--a thing the Old Ones had formerly been reluctant to do. The great river was now lifeless, and the upper sea had lost most of its denizens except the seals and whales. All the birds had flown away, save only the great, grotesque penguins. What had happened afterward we could only guess. How long had the new sea-cavern city survived? Was it still down there, a stony corpse in eternal blackness? Had the subterranean waters frozen at last? To what fate had the ocean-bottom cities of the outer world been delivered? Had any of the Old Ones shifted north ahead of the creeping ice cap? Existing geology shows no trace of their presence. Had the frightful Mi-Go been still a menace in the outer land world of the north? Could one be sure of what might or might not linger, even to this day, in the lightless and unplumbed abysses of earth's deepest water? Those things had seemingly",H.P. Lovecraft,0
"Now, Old Man Hemlock and young Silas Peabody, they had a disagreement. Not a fisticuffs kind, mind you, but a *peculiar* one. It weren’t ‘bout land, nor livestock, nor even a woman – though Silas *did* have a fondness for Hemlock’s daughter, Bessie, a fact Hemlock weren’t shy ‘bout remindin’ him of. No sir. This here ’spute wuz ‘bout pints.

Specifically, the pints of buttermilk Hemlock sold. Silas claimed they weren’t *true* pints. Said Hemlock wuz shortin’ folks, slippin’ a finger’s width o’ air into each measure. Hemlock, he scoffed. “Boy,” he said, puffin’ on his pipe, “I been sellin’ pints since afore you wuz born! My measure’s honest as the day is long.”

But Silas, he’d brought a plumb bob and a ruler. He measured. He calculated. He declared Hemlock a scoundrel. I reck’n I knows sense when I sees it; en dey ain’ no sense in sich doin’s as dat. The whole town gathered, watchin’ Silas fuss over buttermilk like it wuz gold. A right foolishness, I tell ya. A man arguin’ over a dribble.",Mark Twain,1
"sufficient proof that the thing did take a wrong gallery whilst we providentially hit on the right one. The penguins alone could not have saved us, but in conjunction with the mist they seem to have done so. Only a benign fate kept the curling vapors thick enough at the right moment, for they were constantly shifting and threatening to vanish. Indeed, they did lift for a second just before we emerged from the nauseously resculptured tunnel into the cave; so that we actually caught one first and only half glimpse of the oncoming entity as we cast a final, desperately fearful glance backward before dimming the torch and mixing with the penguins in the hope of dodging pursuit. If the fate which screened us was benign, that which gave us the half glimpse was infinitely the opposite; for to that flash of semivision can be traced a full half of the horror which has ever since haunted us. * * * * * Our exact motive in looking back again was perhaps no more than the immemorial instinct of the pursued to gauge the nature and course of its pursuer; or perhaps it was an automatic attempt to answer",H.P. Lovecraft,0
"Old Man Tiber, he was a sight. Claimed he could still pitch a bluegill clear over the courthouse, though his arm hadn’t known a proper stretch since Grant was a corporal. Now, young Jedediah, fresh off the farm and full of vinegar, was tryin’ to show Tiber how a man *actually* throws a ball.

“No, no, see here!” Jedediah’d holler, windin’ up like he was launchin’ a cannonball. “Wrist snap, elbow drive! Gotta put your back into it!”

Tiber just shook his head, slow and deliberate. “Lordy, boy, you throw like a woman fendin’ off a suitor. All wrist and flail. A proper throw, now, that’s from the *shoulder*. Stiff-armed, see? Like there’s a hinge right there, a pivot point. Not all flung out like you’re reachin’ for a biscuit.”

He demonstrated, a pathetic little lob that barely cleared Jedediah’s boot. “It’s about control, son. Precision. Not showin’ off. A girl throws like *that*,” he said, gesturing wildly at Jedediah’s form, “a man throws…well, a man throws with a bit more dignity.” 

Jedediah just grinned, wound up again, and nearly took Tiber’s hat off with a fastball. Some lessons, it seemed, were lost on the young’uns.",Mark Twain,1
"It was, I confess, a matter of some small satisfaction to find myself, once again, situated through my means; and it was but the other day that I recommended another young person, who was merely accidentally mentioned to me, and the particulars of whose disposition appeared, upon brief enquiry, entirely suitable. Miss Eleanor Finch, a niece to the Rector of Upper Bramble, possessed a modest fortune, and, more importantly, a sensibility not prone to flights of fancy. 

Mrs. Hawthorne, you see, had been lamenting the lack of a companion for her nephew, young Mr. Cecil, a gentleman of amiable, though somewhat melancholic, temperament. He required, she declared, a lady who could appreciate a quiet evening with a book, rather than a bustling assembly. Miss Finch, therefore, presented herself as a most eligible candidate. 

One hopes, naturally, that the connection will prove felicitous. Mr. Cecil, though possessing a comfortable income, is not a man to pursue with undue eagerness. A gentle encouragement, a shared appreciation for Virgil, and a willingness to overlook his occasional fits of abstraction – these, I suspect, will be the keys to his affections. It is a delicate matter, certainly, but one I believe Miss Finch is well-equipped to manage.",Jane Austen,1
"a minute; I reckoned I wouldn’t stay on hand till he got that chance. The old man made me go to the skiff and fetch the things he had got. There was a fifty-pound sack of corn meal, and a side of bacon, ammunition, and a four-gallon jug of whisky, and an old book and two newspapers for wadding, besides some tow. I toted up a load, and went back and set down on the bow of the skiff to rest. I thought it all over, and I reckoned I would walk off with the gun and some lines, and take to the woods when I run away. I guessed I wouldn’t stay in one place, but just tramp right across the country, mostly night times, and hunt and fish to keep alive, and so get so far away that the old man nor the widow couldn’t ever find me any more. I judged I would saw out and leave that night if pap got drunk enough, and I reckoned he would. I got so full of it I didn’t notice how long I was staying till the old man hollered and asked me whether I was asleep or drownded.",Mark Twain,0
"Now, the rain was comin’ down in sheets, a proper Missouri soaker, and Old Man Hemlock’s porch was the only dry spot for a mile, so naturally, folks lingered. This feller, see, he stood just at the edge, lookin’ like a drowned rat tryin’ to decide if catchin’ pneumonia was worth a moment’s respite. I figured a man that hesitant needed persuadin’.

“Come in, come in, sir!” I hollered, loud enough to cut through the storm. “No sense standin’ out there gettin’ yourself addled. Coffee’s hot, and the company’s…well, it’s company.”

He shuffled in, lookin’ sheepish as a hound dog caught in the pantry. “Much obliged,” he says, wringin’ water from his coat. “Name’s William Thompson, from Hicksville, Ohio. A right awful journey, it was.” 

Then he paused, cleared his throat, and added, with a little flourish, “And might I add, a rather *blessed* journey, too. William Thompson, at your service…and William Thompson, the Second, if you please.” 

A man with two names, and a story already spinnin’ like a top. I had a feelin’ this wasn’t just the rain bringin’ the dampness into the room.",Mark Twain,1
"The pronouncement, delivered with a gravity quite unbecoming the occasion, struck Miss Elizabeth with a force that rendered her momentarily incapable of reply. “Ardently I admire and love you.” The words, though not entirely unwelcome, possessed a boldness so unexpected, so utterly devoid of the customary preamble, as to leave her faculties in a delightful, yet unsettling, disarray. 

She stared, coloured a becoming rose, and then, finding no suitable response readily available, remained, to her own mortification, silent. Mr. Darcy, however, appeared to consider this lack of immediate effusiveness as quite sufficient. A slight inclination of his head, a barely perceptible tightening of his lips, suggested a satisfaction derived not from her acceptance, but from the *delivery* of his sentiment. 

It was, she thought, a most singular declaration. One might expect protestations of worthiness, assurances of devotion extending beyond mere admiration. Instead, a bluntness, a confidence bordering on presumption. Yet, despite the impropriety of the manner, a warmth began to spread within her, a curious mingling of amusement and… something far more significant. He simply *believed* her response would follow, and in that belief, perhaps, lay a charm of its own.",Jane Austen,1
"“Word,” said her Ladyship, her lips pursed with a disapproval barely veiled by politeness, “you give your opinion very decidedly for so young a person. Pray, what is your age?”

Miss Eleanor, though startled by the directness, met the gaze unflinchingly. “With three younger sisters grown up,” she replied, a slight flush rising in her cheeks, “one is perpetually engaged in matters of consequence, even if those consequences are merely the proper arrangement of ribbons or the suitable selection of a pianoforte piece. I am, Madam, but seventeen years of age.”

A delicate sniff escaped her Ladyship. “Seventeen! A mere bud, then, to be offering pronouncements on the merits of Mr. Hawthorne’s estate. Such forwardness is…uncommon.” 

Eleanor bit back a retort regarding the uncommonness of judging a property solely on the size of its ballroom. “I merely observed, Madam, that the land appears to lack sufficient drainage. A dampness, I fear, would prove detrimental to the rose garden.” 

Her Ladyship’s eyes narrowed. “A rose garden, indeed. A most practical concern for a young lady on the brink of…establishment.” The implication hung heavy in the air, a subtle barb aimed at Eleanor’s decidedly un-marriageable independence.",Jane Austen,1
"and were able to turn off our torch. It appeared that we were coming to the vast, circular place, and that our distance from the upper air could not be very great. The corridor ended in an arch, surprisingly low for these megalithic ruins, but we could see much through it even before we emerged. Beyond, there stretched a prodigious round space--fully two hundred feet in diameter--strewn with débris and containing many choked archways corresponding to the one we were about to cross. The walls were--in available spaces--boldly sculptured into a spiral band of heroic proportions; and displayed, despite the destructive weathering caused by the openness of the spot, an artistic splendor far beyond anything we had encountered before. The littered floor was quite heavily glaciated, and we fancied that the true bottom lay at a considerably lower depth. But the salient object of the place was the titanic stone ramp which, eluding the archways by a sharp turn outward into the open floor, wound spirally up the stupendous cylindrical wall like an inside counterpart of those once climbing outside the monstrous towers or zikkurats of antique Babylon. Only the rapidity of our flight, and the perspective which confounded the",H.P. Lovecraft,0
