text,author,is_ai,predicted_prob,predicted_label,correct,p_xgb,p_ffnn,p_bert,disagreement
"himself as “a honest tradesman.” His stock consisted of a wooden stool, made out of a broken-backed chair cut down, which stool, young Jerry, walking at his father’s side, carried every morning to beneath the banking-house window that was nearest Temple Bar: where, with the addition of the first handful of straw that could be gleaned from any passing vehicle to keep the cold and wet from the odd-job-man’s feet, it formed the encampment for the day. On this post of his, Mr. Cruncher was as well known to Fleet-street and the Temple, as the Bar itself,--and was almost as in-looking. Encamped at a quarter before nine, in good time to touch his three-cornered hat to the oldest of men as they passed in to Tellson’s, Jerry took up his station on this windy March morning, with young Jerry standing by him, when not engaged in making forays through the Bar, to inflict bodily and mental injuries of an acute description on passing boys who were small enough for his amiable purpose. Father and son, extremely like each other, looking silently on at the morning traffic in Fleet-street, with their two heads as near to one another as the two",Charles Dickens,0,0.024059766457260896,0,True,0.015295447781682014,0.0005854168557561934,0.05629843473434448,0.023573927005207825
"the flags which lined the floor. “Why, dear me, it sounds quite hollow!” he remarked, looking up in surprise. “I must really ask you to be a little more quiet!” said Holmes severely. “You have already imperilled the whole success of our expedition. Might I beg that you would have the goodness to sit down upon one of those boxes, and not to interfere?” The solemn Mr. Merryweather perched himself upon a crate, with a very injured expression upon his face, while Holmes fell upon his knees upon the floor and, with the lantern and a magnifying lens, began to examine minutely the cracks between the stones. A few seconds sufficed to satisfy him, for he sprang to his feet again and put his glass in his pocket. “We have at least an hour before us,” he remarked, “for they can hardly take any steps until the good pawnbroker is safely in bed. Then they will not lose a minute, for the sooner they do their work the longer time they will have for their escape. We are at present, Doctor—as no doubt you have divined—in the cellar of the City branch of one of the principal London banks. Mr.",Arthur Conan Doyle,0,0.03971520625054836,0,True,0.0422678105533123,0.008812746033072472,0.06806506216526031,0.024256903942342527
"The matter, as Mr. Abernathy presented it, was one of peculiar delicacy. Not a theft, not a forgery, but a…disappointment. A familial one, to be precise. He was a man of precise habits, a solicitor by trade, and his distress was etched in the meticulous arrangement of his spectacles upon his nose.

“It’s my nephew, you see,” he began, adjusting his cravat. “Young Thomas. A perfectly respectable lad, diligent at his studies, but… afflicted, shall we say, with a most unfortunate shade of hair.”

He paused, as if the very utterance was distasteful. “Not the vibrant, arresting red of a sunset, mind you. No, no. A muted copper, a sort of…dusty rose, really. The family, you understand, has always boasted a lineage of true, fiery locks. A mark of distinction.”

He wrung his hands. “His mother, my sister, insists it’s a slight, a failing. She’s taken to hinting he’s not… entirely *ours*. Now, if you cared to apply, Mr. Wilson, you would just walk in; observe the boy, the mother, the subtle nuances of their interactions. A discerning eye, that’s all that’s required. To ascertain, beyond doubt, the truth of the matter.”",Arthur Conan Doyle,1,0.944015141292589,1,True,0.49410194158554077,0.9999960660934448,0.9294888377189636,0.22372152426854386
"The fog, a greasy yellow, clung to Baker Street like a guilty conscience. I sat opposite him, ostensibly assisting, yet perpetually feeling the chill of inadequacy. He had been examining a chipped porcelain doll, its painted eyes staring vacantly at the ceiling, for a full quarter-hour. I had observed the same doll, noted the hairline fracture near the left hand, the faint residue of what appeared to be rose perfume. But *I* saw a broken toy. He… something else.

“Remarkable, Watson,” he murmured, not looking at me. “The scent, you see, is not rose, but *Rosa damascena*, cultivated almost exclusively in Bulgaria. And the fracture? Not accidental. A deliberate weakening, designed to fail under a specific pressure.”

I had heard the client’s tale – a missing heiress, a disgruntled uncle, a locked room. I had seen the muddy footprints, the overturned chair. Yet, I was always oppressed with a sense of my own stupidity in my dealings with him. Here I had heard what he had heard, I had seen what he had seen, and yet, the landscape of deduction remained utterly foreign. He built cathedrals of logic from dust motes; I merely registered the dust.",Arthur Conan Doyle,1,0.906913083503448,1,True,0.335781455039978,0.9993214011192322,0.9245548248291016,0.2967470643767269
"The chill November air clung to Baker Street, yet a far greater cold emanated from the King’s face. He paced before the hearth, the flames doing little to warm the dread in his eyes. “The Diamond of Delhi, gone! Vanished during the annual Guy Fawkes display. A most…unsettling circumstance.”

I observed him with a practiced neutrality. “Unsettling, Sire, yet not inexplicable. The fireworks, the crowds, the general distraction…a clever hand could exploit such chaos.”

He stopped, fixing me with a gaze that could dissect a man. “Clever, yes. But audacious. The vault was secured by Chubb’s finest. No forced entry.”

“Precisely, Your Majesty. Which suggests an intimacy with the palace workings. Someone *within* the circle.” I gestured towards the remnants of a burnt programme, discarded near the grate. “The timing, too, is significant. The Diamond was displayed prominently during the final, largest burst – a deliberate misdirection, I suspect, utilising the very spectacle to conceal its removal.”

“I am glad to hear your Majesty say so,” the King murmured, a flicker of relief crossing his features. “I am immensely indebted to you. Pray tell me in what way I can reward you. This ring—” He slipped a heavy gold band from his finger, but faltered, catching it before it fell. “No. Keep your wits, sir. That is reward enough.”",Arthur Conan Doyle,1,0.8852925489836143,1,True,0.2715790867805481,0.9971134662628174,0.9209152460098267,0.32554974910194867
"The night, sir, was a broth of fog and coal-smoke, clinging to the cobbled streets like a pauper to a farthing. Our conveyance, a Royal Mail coach of considerable, if rattling, dignity, had halted most abruptly upon Primrose Hill. Not from mechanical failure, mind you, but from a sound. A sound, I say, that had seized the very horses by the bit, and left the passengers – a motley crew of merchants, ladies, and one particularly nervous clergyman – suspended between apprehension and irritation.

For from the heights above, where the skeletal branches of ancient oaks clawed at the gloom, came a wailing. A thin, reedy cry, half human, half…something else. It ceased, then resumed, each iteration more plaintive than the last. 

Half out of the coach window, young Master Finch peered upwards; they remained in the road below him. They all looked from the coachman to the guard, and from the guard to the coachman, and listened. The guard, a fellow built like a barrel and possessing a face to match, scratched his chin with a gloved hand. “Wind, perhaps, sir?” he offered, though the air was still as a tomb. But the wailing, undeniably, continued, a sorrowful echo in the heart of the London night.",Charles Dickens,1,0.9572847463360673,1,True,0.9288298487663269,0.6968257427215576,0.8629845976829529,0.09762187106606063
"The fog, a greasy, yellow beast, clung to London like a pauper to a crust. Within the modest, yet respectable, chambers of Dr. Manette, a quiet anticipation held sway. Miss Manette, pale but possessed of a fortitude that belied her delicate frame, sat by the window, her gaze lost in the swirling murk. She had been returned to her father’s care but a fortnight, a fragile bloom rescued from a most grievous winter.

“So soon?” she murmured, more to the shadowed room than to the attentive housekeeper, Mrs. Mills. The gentleman from Tellson’s Bank, Mr. Jarvis Lorry, was expected. A curious comfort resided in the thought of his precise manner, his unwavering practicality. He was a tether to the world she’d left behind, a world best forgotten, yet one from which she could not entirely escape.

Miss Manette had taken some refreshment on the road, a biscuit and a sip of cordial offered by a kindly stagecoach passenger, and required none now. Her stomach, like her spirit, felt strangely…composed. A small, almost imperceptible tremor in her hand was the sole betrayer of the turmoil within. Let him come, then. Let the business of remembrance, however painful, be attended to.",Charles Dickens,1,0.981255233663141,1,True,0.8851438164710999,0.9999146461486816,0.8856462836265564,0.053985445046286565
"The matter presented itself as a most peculiar anomaly, Watson, a veritable inversion of the usual philanthropic struggles. Old Man Hemlock, a shipping magnate of eccentric habits, had left his entire fortune – a sum exceeding a quarter of a million – to establish a home for retired naval officers. A noble intention, certainly. The difficulty, however, lay in the *lack* of suitable candidates.

The trustees, a collection of retired admirals and solicitors, were, to put it mildly, flustered. Applications trickled in, then ceased altogether. The Great War, it seemed, had claimed the majority, and those remaining possessed either sufficient means or a distaste for institutional living. 

“It’s absurd, Watson, utterly absurd!” boomed Admiral Grimshaw at our last meeting, polishing his spectacles with a silk handkerchief. “We have opulent suites, a billiards room, a chef capable of miracles… and echoing corridors! The interest alone accrues at a rate that threatens to bankrupt the estate with upkeep.”

I confess, observing the Admiral’s crimson face, a rather frivolous thought crossed my mind. If my hair would only change colour, here’s a man who might mistake me for a deserving veteran and offer a comfortable pension. A fleeting fancy, of course. The true puzzle remained: what to *do* with a fortune designed for men who simply did not exist?",Arthur Conan Doyle,1,0.9695037802060446,1,True,0.9802007675170898,0.9998707175254822,0.9284398555755615,0.03012652389370153
"The case presented itself with a peculiar melancholy, a dampness not of the London fog, but of the spirit. Miss Morstan, a woman of quiet fortitude, recounted a tale of familial misfortune, subtly laced with a growing dread. Her late father, a man of the East India Company, had left a cryptic correspondence, culminating in the sudden appearance of Mr. Windibank.

A most assured fellow, Windibank. A traveller in wines, he declared, possessing a worldly air and a condescension that, whilst not overtly rude, implied a vast intellectual and practical superiority. He had, with a chilling efficiency, convinced Miss Morstan to relinquish control of her father’s modest marine-store business. 

“He explained, you see,” she murmured, her voice barely audible, “that the trade was…unsuitable. That *he* could secure a far more advantageous outcome.” 

And secure it he did. A sale to a competitor, yielding a sum of £4700 for the goodwill and interest. A handsome figure, certainly, yet Miss Morstan’s unease was palpable. It was not the money, I perceived, but the manner of its acquisition, the subtle erosion of her agency, that truly troubled her. Something about Windibank’s ‘superiority’ felt…calculated. A scent of something foul hung in the air, masked by the bouquet of expensive vintages.",Arthur Conan Doyle,1,0.9420007713485997,1,True,0.4908832013607025,0.9999865293502808,0.9220991730690002,0.22390470519965075
"The gas lamps, bless their flickering hearts, cast a jaundiced glow upon the music hall’s velvet gloom. A brief respite, a mere breath held ‘twixt the bawdy ballads and the tumbling clowns. Old Man Hemlock, he sat slumped against a pillar, a study in faded gentility and present distress. He’d been recounting, with a tremor in his voice and a dampness about his eyes, a tale of lost fortunes and a daughter’s cruel abandonment. 

Now, silence. And a most peculiar emptiness clung to the air where his lament had been. The task of recalling him from the vagrancy into which he always sank when he had spoken, was like recalling some very weak phantom. His gaze, once alight with remembered sorrow, had dissolved into a milky, unfocused stare. 

A stout woman, smelling faintly of gin and onions, nudged him with a boot. “Wake up, Hemlock! They’re starting again.” He blinked, a slow, laborious process, as if dredging himself from the depths of a particularly dismal sea. The music swelled, a jaunty tune utterly at odds with the wreckage of a life etched upon his face. He was present, yet…gone. A ghost amongst the living, briefly roused, then lost again.",Charles Dickens,1,0.9482677976290385,1,True,0.9511429667472839,0.9999886155128479,0.8936718106269836,0.043451242394041446
